tm,MVm,PVm
1.050000000000000000e+02,1.000000000000000000e+00,1.612500000000000600e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.490000000000000213e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.757500000000000173e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.829999999999999960e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.884999999999999731e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.902499999999999747e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.910000000000000031e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.942500000000000893e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.005000000000000671e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.070000000000000173e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.037499999999999589e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.127500000000001334e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.160000000000000253e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.192500000000000837e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.232500000000000040e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.255000000000000893e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.255000000000000893e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.272500000000000908e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.272500000000000908e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.312500000000000111e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.327500000000000679e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.337500000000000411e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.337500000000000411e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.352500000000000979e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.352500000000000979e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.410000000000000198e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.410000000000000198e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.392500000000000182e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.417500000000000482e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.440000000000001334e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.472500000000000253e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.472500000000000253e-01
1.610000000000000000e+02,1.000000000000000000e+00,2.410000000000000198e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
1.640000000000000000e+02,1.000000000000000000e+00,2.505000000000000560e-01
1.650000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
1.660000000000000000e+02,1.000000000000000000e+00,2.512500000000000844e-01
1.670000000000000000e+02,1.000000000000000000e+00,2.562499999999999778e-01
1.680000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
